"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1836","Add on - PAY-002 Empty cart blocks checkout with empty cart message","firefox","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-002-empty-cart-blocks-checkout-with-empty-cart-message.spec.js","",""
"","2820","WISH-013 Email a friend form has message and send button","webkit","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-013-email-a-friend-form-has-message-and-send-button.spec.js","",""
"","1910","AUTH-001 Login page opens with correct title and heading","firefox","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-001-login-page-opens-with-correct-title-and-heading.spec.js","",""
"","1963","WISH-004 Gift card product has wishlist button","firefox","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-004-gift-card-product-has-wishlist-button.spec.js","",""
"","1876","AUTH-004 Login page shows remember me and forgot password options","firefox","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-004-login-page-shows-remember-me-and-forgot-password-options.spec.js","",""
"","1977","AUTH-007 Password recovery page has email field and recover button","chromium","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-007-password-recovery-page-has-email-field-and-recover-button.spec.js","",""
"","2237","Add on - PAY-001 Empty cart keeps user on shopping cart page","firefox","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-001-empty-cart-keeps-user-on-shopping-cart-page.spec.js","",""
"","1674","Add on - INFO-005 Contact us page has submit button","firefox","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-005-contact-us-page-has-submit-button.spec.js","",""
"","2419","PROD-001 Home page shows welcome content and featured products","chromium","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-001-home-page-shows-welcome-content-and-featured-products.spec.js","",""
"","2738","Add on - INFO-002 Contact us page has full name field","webkit","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-002-contact-us-page-has-full-name-field.spec.js","",""
"","2791","Add on - INFO-004 Contact us page has enquiry textarea","webkit","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-004-contact-us-page-has-enquiry-textarea.spec.js","",""
"","1976","ADDR-015 Shipping page keeps information links available","firefox","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-015-shipping-page-keeps-information-links-available.spec.js","",""
"","2840","Add on - INFO-009 About us page opens","webkit","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-009-about-us-page-opens.spec.js","",""
"","1799","USER-012 Login page provides register button for new user","chromium","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-012-login-page-provides-register-button-for-new-user.spec.js","",""
"","1909","Add on - INFO-003 Contact us page has email field","firefox","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-003-contact-us-page-has-email-field.spec.js","",""
"","2052","PROD-001 Home page shows welcome content and featured products","firefox","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-001-home-page-shows-welcome-content-and-featured-products.spec.js","",""
"","2838","AUTH-001 Login page opens with correct title and heading","webkit","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-001-login-page-opens-with-correct-title-and-heading.spec.js","",""
"","1956","USER-013 Login page provides forgot password link","chromium","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-013-login-page-provides-forgot-password-link.spec.js","",""
